,min_p_e,max_p_e,min_th_e,max_th_e,min_p_pi,max_p_pi,min_th_pi,max_th_pi,max_oop_pi,max_oop_e
0,1.071,1.3684999999999998,0.42700340035362594,0.5420034003536259,2.5137,3.0723000000000003,0.15767943363659837,0.21267943363659836,0.07,0.0375
1,1.557,1.9894999999999998,0.44602748920036406,0.561027489200364,2.8683,3.5057,0.2070722514680379,0.2620722514680379,0.07,0.0375
2,1.287,1.6444999999999999,0.6017108584782583,0.7167108584782583,3.0762,3.7598000000000003,0.1948549467040776,0.2498549467040776,0.07,0.0375
3,1.2807000000000002,1.63645,0.6472639519553103,0.7622639519553103,3.6693000000000002,4.4847,0.1737364627549462,0.2287364627549462,0.07,0.0375
4,0.9306000000000001,1.1891,0.8617649170254134,0.9767649170254133,3.9708,4.8532,0.15802849948699724,0.21302849948699723,0.07,0.0375
